id,date,text,views,forwards,replies,reactions
20996,2025-09-17 06:24:06+00:00,"Это гелевая сыворотка-филлер для кожи вокруг глаз Manly PRO💜

Она мгновенно охлаждает, тонизирует и снимает отеки, что с утра очень радует. В составе пептидный комплекс, ментол и растительные экстракты. 

Средство еще и увлажняет и повышает упругость кожи. Ставим лайк!

Реклама",65064,117,48,"{""ReactionEmoji(emoticon='❤')"": 473, 'ReactionCustomEmoji(document_id=5294214784856649592)': 235, ""ReactionEmoji(emoticon='😍')"": 93, ""ReactionEmoji(emoticon='👍')"": 57, ""ReactionEmoji(emoticon='⚡')"": 21, ""ReactionEmoji(emoticon='🔥')"": 11, ""ReactionEmoji(emoticon='😇')"": 9, ""ReactionEmoji(emoticon='😁')"": 6}"
20995,2025-09-17 06:15:15+00:00,,57873,8,6,"{""ReactionEmoji(emoticon='❤')"": 304, 'ReactionCustomEmoji(document_id=5294214784856649592)': 195, ""ReactionEmoji(emoticon='😍')"": 89, ""ReactionEmoji(emoticon='⚡')"": 30, ""ReactionEmoji(emoticon='👍')"": 22, ""ReactionEmoji(emoticon='🔥')"": 12, ""ReactionEmoji(emoticon='😇')"": 12, ""ReactionEmoji(emoticon='😁')"": 9}"
20994,2025-09-17 06:15:15+00:00,Посмотрели кружок этот с утра и сразу поняли: это нам надо!,56224,2,1,"{""ReactionEmoji(emoticon='❤')"": 294, 'ReactionCustomEmoji(document_id=5294214784856649592)': 169, ""ReactionEmoji(emoticon='🔥')"": 66, ""ReactionEmoji(emoticon='👍')"": 26, ""ReactionEmoji(emoticon='😁')"": 14, ""ReactionEmoji(emoticon='😇')"": 6, ""ReactionEmoji(emoticon='😍')"": 5, ""ReactionEmoji(emoticon='⚡')"": 3}"
20993,2025-09-16 17:04:03+00:00,,79132,150,0,{}
20992,2025-09-16 17:04:03+00:00,"Это лип-комбо Vei — любовь с первого затеста🩷

Сначала заполнили губы карандашом Lip Pencil в оттенке 1909 — это бежево-коричневый с холодным подтоном. Поверх нанесли бальзам с пептидами Lip Balm Bubble Gum. Результат — супернежный, да еще и с ароматом жвачки! 

К бренду присмотрелись — следующей возьмем пенку для умывания Foam Cleanser с Д-пантенолом и салициловой кислотой.

Реклама",78219,154,56,"{""ReactionEmoji(emoticon='❤')"": 528, 'ReactionCustomEmoji(document_id=5294214784856649592)': 289, ""ReactionEmoji(emoticon='🔥')"": 126, ""ReactionEmoji(emoticon='😍')"": 49, ""ReactionEmoji(emoticon='👍')"": 27, ""ReactionEmoji(emoticon='⚡')"": 9, ""ReactionEmoji(emoticon='😁')"": 7, ""ReactionEmoji(emoticon='😇')"": 6}"
20991,2025-09-16 15:19:06+00:00,"Мы тут в соседнем канале конкурс проводим... 

Разыгрываем 5 ароматов L'Atelier Parfum в канале @goldapple_scout💛 Там же рассказываем больше о классных брендах и вместе совершаем бьюти-открытия.",69211,15,17,"{""ReactionEmoji(emoticon='❤')"": 426, 'ReactionCustomEmoji(document_id=5294214784856649592)': 236, ""ReactionEmoji(emoticon='🔥')"": 118, ""ReactionEmoji(emoticon='⚡')"": 47, ""ReactionEmoji(emoticon='👍')"": 25, ""ReactionEmoji(emoticon='😍')"": 7, ""ReactionEmoji(emoticon='😁')"": 5, ""ReactionEmoji(emoticon='😇')"": 5}"
20990,2025-09-16 14:27:12+00:00,,71307,113,0,{}
20989,2025-09-16 14:27:12+00:00,"Без лишних слов: обзор линейки Caudalie Vinopure для проблемной кожи🙀

Ее секрет в салициловой кислоте. Она мягко очищает поры и улучшает текстуру кожи. При этом в средствах есть и увлажняющие ингредиенты: виноградная и розовая вода, ниацинамид, масло чайного дерева. Они помогают не пересушить кожу и улучшить ее состояние. Вот что входит в линейку: 

➕ гель для умывания мягко очищает и при этом увлажняет кожу 
➕ тоник для лица завершает этап очищения, матирует и сужает поры 
➕ сыворотка для лица сокращает количество высыпаний и помогает поддерживать кожный барьер 
➕ точечное средство здорово работает как SOS-средство против прыщиков и воспалений. Оно подсушивает их и уменьшает покраснения

Реклама",70832,113,20,"{""ReactionEmoji(emoticon='❤')"": 436, 'ReactionCustomEmoji(document_id=5294214784856649592)': 247, ""ReactionEmoji(emoticon='🔥')"": 102, ""ReactionEmoji(emoticon='😁')"": 34, ""ReactionEmoji(emoticon='👍')"": 21, ""ReactionEmoji(emoticon='⚡')"": 8, ""ReactionEmoji(emoticon='😇')"": 7, ""ReactionEmoji(emoticon='😍')"": 6}"
20988,2025-09-16 12:46:53+00:00,,71099,72,0,{}
20987,2025-09-16 12:46:53+00:00,,73921,72,0,{}
